voltage_V,branch,displacement_nm
0,up,0
0.1,up,30.9999999196276
0.2,up,62.9999999196276
0.3,up,95.8999999196276
0.4,up,129.609999919628
0.5,up,164.048999919628
0.6,up,199.144099919628
0.7,up,234.829689919628
0.8,up,271.046720919628
0.9,up,307.742048819628
1,up,344.867843929628
1.1,up,382.381059528628
1.2,up,420.242953567728
1.3,up,458.418658202918
1.4,up,496.876792374589
1.5,up,535.589113129093
1.6,up,574.530201808146
1.7,up,613.677181619295
1.8,up,653.009463449328
1.9,up,692.508517096358
2,up,732.157665378685
2.1,up,771.941898832779
2.2,up,811.847708941464
2.3,up,851.86293803928
2.4,up,891.976644227315
2.5,up,932.178979796547
2.6,up,972.461081808854
2.7,up,1012.81497361993
2.8,up,1053.2334762499
2.9,up,1093.71012861687
3,up,1134.23911574715
3.1,up,1174.8152041644
3.2,up,1215.43368373992
3.3,up,1256.09031535789
3.4,up,1296.78128381406
3.5,up,1337.50315542462
3.6,up,1378.25283987412
3.7,up,1419.02755587867
3.8,up,1459.82480028277
3.9,up,1500.64232024645
4,up,1541.47808821377
4.1,up,1582.33027938436
4.2,up,1623.19725143788
4.3,up,1664.07752628606
4.4,up,1704.96977364942
4.5,up,1745.87279627644
4.6,up,1786.78551664076
4.7,up,1827.70696496864
4.8,up,1868.63626846374
4.9,up,1909.57264160933
5,up,1950.51537744036
5,up,1950.51537744036
4.9,down,1919.5153776011
4.8,down,1888.5153776011
4.7,down,1857.5153776011
4.6,down,1826.5153776011
4.5,down,1795.5153776011
4.4,down,1764.5153776011
4.3,down,1733.5153776011
4.2,down,1702.5153776011
4.1,down,1671.5153776011
4,down,1640.5153776011
3.9,down,1609.46383984903
3.8,down,1577.41745587216
3.7,down,1544.47571029299
3.6,down,1510.72813927172
3.5,down,1476.25532535259
3.4,down,1441.12979282537
3.3,down,1405.41681355087
3.2,down,1369.17513220382
3.1,down,1332.45761899147
3,down,1295.31185710036
2.9,down,1257.78067139836
2.8,down,1219.90260426657
2.7,down,1181.71234384795
2.6,down,1143.24110947119
2.5,down,1104.51699853211
2.4,down,1065.56529868693
2.3,down,1026.40876882628
2.2,down,987.067891951687
2.1,down,947.561102764555
2,down,907.904992496137
1.9,down,868.114493254561
1.8,down,828.203043937142
1.7,down,788.182739551465
1.6,down,748.064465604356
1.5,down,707.858019051957
1.4,down,667.572217154799
1.3,down,627.214995447356
1.2,down,586.793495910658
1.1,down,546.314146327629
1,down,505.782731702904
0.9,down,465.20445854065
0.8,down,424.584012694623
0.7,down,383.925611433198
0.6,down,343.233050297915
0.5,down,302.509745276161
0.4,down,261.758770756582
0.3,down,220.982893688961
0.2,down,180.184604328102
0.1,down,139.366143903329
0,down,98.5295295210335
