t_s,y_meas_nm,y_fit_nm
0,-3.2450688259562,0
1e-06,5.90583020982766,0
2e-06,-3.79226648641846,0
3e-06,-5.54806519250761,0
4e-06,-4.22775620003898,0
5e-06,-2.86332433228975,0
6e-06,37.1984680870446,39.2832759089249
7e-06,78.925218339762,77.4472069494796
8e-06,113.235152099073,113.743877302305
9e-06,151.57299558439,148.264647117702
1e-05,177.123923033336,181.096406534303
1.1e-05,216.530662590001,212.321794384976
1.2e-05,234.608742806983,242.019406202025
1.3e-05,274.716932989948,270.263992045242
1.4e-05,295.930967988479,297.12664465076
1.5e-05,323.478926232908,322.674978374265
1.6e-05,337.074061941587,346.973299379003
1.7e-05,363.624101439706,370.08276749692
1.8e-05,397.798319383282,392.061550170378
1.9e-05,422.945851814793,412.964968861894
2e-05,431.283640548989,432.845638300449
2.1e-05,454.568541653007,451.753598914829
2.2e-05,478.426015268257,469.736442787361
2.3e-05,495.48117064434,486.839433445059
2.4e-05,493.546747894656,503.105619789705
2.5e-05,513.083322943214,518.575944453636
2.6e-05,530.964135488869,533.28934685396
2.7e-05,554.056522799264,547.282861204606
2.8e-05,553.519114154296,560.591709732897
2.9e-05,571.558071236235,573.249391335292
3e-05,591.420308745589,585.287765895421
3.1e-05,596.853976418551,596.737134476674
3.2e-05,609.679437338523,607.626315591171
3.3e-05,616.179440977823,617.98271773709
3.4e-05,631.594409844223,627.832408386941
3.5e-05,641.676948912354,637.200179600421
3.6e-05,643.502709580722,646.109610427005
3.7e-05,663.430858165657,654.583126255347
3.8e-05,665.472557687009,662.642055258858
3.9e-05,667.020581587521,670.306682079571
4e-05,680.522099434864,677.596298885377
4.1e-05,681.77867181942,684.529253929175
4.2e-05,690.290121695361,691.122997732147
4.3e-05,700.4143440913,697.394127007407
4.4e-05,698.113543826472,703.358426434586
4.5e-05,707.296908204442,709.030908390489
4.6e-05,708.580354955513,714.42585073584
4.7e-05,716.157794930368,719.556832753222
4.8e-05,729.114072596577,724.436769326667
4.9e-05,721.733034084525,729.077943448923
5e-05,730.782346815846,733.492037138239
5.1e-05,737.645482589448,737.69016084246
5.2e-05,734.415825223199,741.682881404463
5.3e-05,746.905778088484,745.480248659319
5.4e-05,739.145804308325,749.091820730121
5.5e-05,753.689002439895,752.526688086162
5.6e-05,758.10235547471,755.793496423998
5.7e-05,752.745448611261,758.900468429013
5.8e-05,759.639911111733,761.855424472237
5.9e-05,767.863017637554,764.665802294532
6e-05,766.196829277303,767.338675727679
6.1e-05,760.847834217684,769.880772499489
6.2e-05,772.77131094138,772.29849116776
6.3e-05,776.295810439556,774.597917225701
6.4e-05,777.399247218798,776.784838419356
6.5e-05,781.341754263909,778.86475931559
6.6e-05,783.279983821703,780.842915157303
6.7e-05,789.557295520043,782.724285040736
6.8e-05,779.612289796652,784.513604448063
6.9e-05,777.642934127185,786.215377166775
7e-05,792.285364983148,787.833886625901
7.1e-05,788.114760015271,789.373206677558
7.2e-05,785.158001569369,790.837211851006
7.3e-05,798.193082995206,792.229587104987
7.4e-05,791.431093395835,793.553837102909
7.5e-05,799.731798023869,794.813295034228
7.6e-05,798.331873783316,796.011131004211
7.7e-05,804.85650582116,797.15036001322
7.8e-05,800.921999767315,798.233849545586
7.9e-05,802.955832236587,799.264326787179
8e-05,797.597061351592,800.244385489844
8.1e-05,798.679784920201,801.176492499975
8.2e-05,810.607234556433,802.062993967665
8.3e-05,801.65664238787,802.90612125206
8.4e-05,805.031981968876,803.707996537774
8.5e-05,796.798290685343,804.470638176518
8.6e-05,808.620480572333,805.195965767363
8.7e-05,805.765876186003,805.885804988451
8.8e-05,809.237471653531,806.541892192301
8.9e-05,806.478081807012,807.16587877627
9e-05,802.876176247889,807.759335339193
9.1e-05,817.277789207772,808.323755634634
9.2e-05,810.298473388326,808.86056033073
9.3e-05,799.575383144802,809.371100586066
9.4e-05,811.479021758531,809.856661450592
9.5e-05,807.976383725905,810.318465100148
9.6e-05,811.425736620703,810.757673912727
9.7e-05,819.23138465377,811.175393394227
9.8e-05,810.035502749748,811.57267496105
9.9e-05,820.973088553411,811.950518586565
0.0001,814.733059357664,812.309875318072
0.000101,807.766301495533,812.651649670634
0.000102,823.231795607525,812.976701903771
0.000103,817.008482615612,813.285850186767
0.000104,817.478026348967,813.579872658041
0.000105,807.15796631099,813.859509383745
0.000106,819.014023773473,814.125464220542
0.000107,817.903112906042,814.378406587241
0.000108,810.651483234972,814.618973149752
0.000109,819.450742672814,814.847769423598
0.00011,818.284710453814,815.06537129802
0.000111,818.379965393174,815.272326485515
0.000112,819.426164928371,815.46915590045
0.000113,812.745543712794,815.656354970222
0.000114,809.942841960682,815.834394882269
0.000115,812.940903425803,816.003723770071
0.000116,809.473988810353,816.164767841114
0.000117,815.009378238059,816.317932449673
0.000118,821.323930525584,816.463603117107
0.000119,817.670227548624,816.60214650223
0.00012,818.96347681734,816.733911324203
0.000121,821.466430349409,816.859229240278
0.000122,813.632363160672,816.978415680592
0.000123,816.125383951605,817.091770642113
0.000124,819.286592371159,817.199579443749
0.000125,824.515513980303,817.302113444503
0.000126,818.868419844041,817.399630726498
0.000127,807.569906885823,817.492376744578
0.000128,821.785947937392,817.580584944127
0.000129,813.118799028252,817.66447734866
0.00013,823.758060654735,817.744265118668
0.000131,816.908062317835,817.820149083113
0.000132,825.966050729648,817.892320244925
0.000133,822.132962979788,817.960960261764
0.000134,819.499468212148,818.026241903259
0.000135,814.039777319524,818.088329485875
0.000136,814.862272668982,818.147379286506
0.000137,808.63830324485,818.203539935827
0.000138,807.144726588809,818.256952792407
0.000139,810.694305965029,818.307752298512
0.00014,814.249259897163,818.356066318502
0.000141,820.215353710203,818.40201646067
0.000142,820.219573088171,818.445718383335
0.000143,815.057419525668,818.48728208596
0.000144,814.15007900224,818.526812186023
0.000145,825.328546365799,818.564408182344
0.000146,820.070101531717,818.600164705527
0.000147,817.322127402098,818.634171756153
0.000148,817.147516069612,818.666514931307
0.000149,821.628311011069,818.697275640038
0.00015,811.094703000826,818.726531308261
