panel,controller,wave,band,freq_Hz,t_ms,setpoint_nm,displacement_nm
a,PID,Sine,limit bandwidth,150,0,1000,0
a,PID,Sine,limit bandwidth,150,0.03,1000,142.253554999231
a,PID,Sine,limit bandwidth,150,0.06,1000,226.479880490071
a,PID,Sine,limit bandwidth,150,0.09,1000,263.220164058513
a,PID,Sine,limit bandwidth,150,0.12,1000,289.76810228419
a,PID,Sine,limit bandwidth,150,0.15,1000,314.128368103816
a,PID,Sine,limit bandwidth,150,0.18,1000,338.019074622295
a,PID,Sine,limit bandwidth,150,0.21,1000,361.808995512778
a,PID,Sine,limit bandwidth,150,0.24,1000,385.577283900645
a,PID,Sine,limit bandwidth,150,0.27,1000,409.340929114889
a,PID,Sine,limit bandwidth,150,0.3,1000,433.103577724086
a,PID,Sine,limit bandwidth,150,0.33,1000,456.866012423208
a,PID,Sine,limit bandwidth,150,0.36,1000,480.628401208935
a,PID,Sine,limit bandwidth,150,0.39,1000,504.390780139868
a,PID,Sine,limit bandwidth,150,0.42,1000,528.153156955581
a,PID,Sine,limit bandwidth,150,0.45,1000,551.915533317285
a,PID,Sine,limit bandwidth,150,0.48,1000,575.677909581541
a,PID,Sine,limit bandwidth,150,0.51,1000,599.440285824881
a,PID,Sine,limit bandwidth,150,0.54,1000,623.202662063732
a,PID,Sine,limit bandwidth,150,0.57,1000,646.965038301619
a,PID,Sine,limit bandwidth,150,0.6,1000,670.727414539299
a,PID,Sine,limit bandwidth,150,0.63,1000,694.489790776935
a,PID,Sine,limit bandwidth,150,0.66,1000,718.252167014561
a,PID,Sine,limit bandwidth,150,0.69,1000,742.014543252186
a,PID,Sine,limit bandwidth,150,0.72,1000,765.77691948981
a,PID,Sine,limit bandwidth,150,0.75,1000,789.539295727433
a,PID,Sine,limit bandwidth,150,0.78,1000,813.301671965057
a,PID,Sine,limit bandwidth,150,0.81,1000,837.064048202681
a,PID,Sine,limit bandwidth,150,0.84,1000,860.826424440305
a,PID,Sine,limit bandwidth,150,0.87,1000,884.588800677929
a,PID,Sine,limit bandwidth,150,0.9,1000,908.351176915552
a,PID,Sine,limit bandwidth,150,0.93,1000,932.113553153176
a,PID,Sine,limit bandwidth,150,0.96,1000,955.8759293908
a,PID,Sine,limit bandwidth,150,0.99,1000,979.638305628424
a,PID,Sine,limit bandwidth,150,1.02,1000,863.010034844171
a,PID,Sine,limit bandwidth,150,1.05,1000,803.649087155036
