panel,controller,wave,band,freq_Hz,t_ms,setpoint_nm,displacement_nm
a,PID,Sine,limit bandwidth,150,0,1000,0
a,PID,Sine,limit bandwidth,150,0.03,1000,0
a,PID,Sine,limit bandwidth,150,0.06,1000,0
a,PID,Sine,limit bandwidth,150,0.09,1000,0
a,PID,Sine,limit bandwidth,150,0.12,1000,0
a,PID,Sine,limit bandwidth,150,0.15,1000,0
a,PID,Sine,limit bandwidth,150,0.18,1000,0
a,PID,Sine,limit bandwidth,150,0.21,1000,0
a,PID,Sine,limit bandwidth,150,0.24,1000,0
a,PID,Sine,limit bandwidth,150,0.27,1000,0
a,PID,Sine,limit bandwidth,150,0.3,1000,0
a,PID,Sine,limit bandwidth,150,0.33,1000,0
a,PID,Sine,limit bandwidth,150,0.36,1000,0
a,PID,Sine,limit bandwidth,150,0.39,1000,0
a,PID,Sine,limit bandwidth,150,0.42,1000,0
a,PID,Sine,limit bandwidth,150,0.45,1000,0
a,PID,Sine,limit bandwidth,150,0.48,1000,0
a,PID,Sine,limit bandwidth,150,0.51,1000,0
a,PID,Sine,limit bandwidth,150,0.54,1000,0
a,PID,Sine,limit bandwidth,150,0.57,1000,0
a,PID,Sine,limit bandwidth,150,0.6,1000,0
a,PID,Sine,limit bandwidth,150,0.63,1000,0
a,PID,Sine,limit bandwidth,150,0.66,1000,0
a,PID,Sine,limit bandwidth,150,0.69,1000,0
a,PID,Sine,limit bandwidth,150,0.72,1000,0
a,PID,Sine,limit bandwidth,150,0.75,1000,0
a,PID,Sine,limit bandwidth,150,0.78,1000,0
a,PID,Sine,limit bandwidth,150,0.81,1000,0
a,PID,Sine,limit bandwidth,150,0.84,1000,0
a,PID,Sine,limit bandwidth,150,0.87,1000,0
a,PID,Sine,limit bandwidth,150,0.9,1000,0
a,PID,Sine,limit bandwidth,150,0.93,1000,0
a,PID,Sine,limit bandwidth,150,0.96,1000,0
a,PID,Sine,limit bandwidth,150,0.99,1000,0
a,PID,Sine,limit bandwidth,150,1.02,1000,378.569009658533
a,PID,Sine,limit bandwidth,150,1.05,1000,558.755215822904
a,PID,Sine,limit bandwidth,150,1.08,1000,597.430160393591
a,PID,Sine,limit bandwidth,150,1.11,1000,605.731302691805
a,PID,Sine,limit bandwidth,150,1.14,1000,607.513049614009
a,PID,Sine,limit bandwidth,150,1.17,1000,607.895481571049
a,PID,Sine,limit bandwidth,150,1.2,1000,607.977566293601
a,PID,Sine,limit bandwidth,150,1.23,1000,607.995184856988
a,PID,Sine,limit bandwidth,150,1.26,1000,607.998966483656
a,PID,Sine,limit bandwidth,150,1.29,1000,607.99977816733
a,PID,Sine,limit bandwidth,150,1.32,1000,607.99995238611
a,PID,Sine,limit bandwidth,150,1.35,1000,607.999989780213
a,PID,Sine,limit bandwidth,150,1.38,1000,607.999997806438
a,PID,Sine,limit bandwidth,150,1.41,1000,607.999999529177
a,PID,Sine,limit bandwidth,150,1.44,1000,607.999999898943
a,PID,Sine,limit bandwidth,150,1.47,1000,607.99999997831
a,PID,Sine,limit bandwidth,150,1.5,1000,607.999999995345
a,PID,Sine,limit bandwidth,150,1.53,1000,607.999999999001
a,PID,Sine,limit bandwidth,150,1.56,1000,607.999999999786
a,PID,Sine,limit bandwidth,150,1.59,1000,607.999999999954
a,PID,Sine,limit bandwidth,150,1.62,1000,607.99999999999
a,PID,Sine,limit bandwidth,150,1.65,1000,607.999999999998
a,PID,Sine,limit bandwidth,150,1.68,1000,607.999999999999
a,PID,Sine,limit bandwidth,150,1.71,1000,607.999999999999
a,PID,Sine,limit bandwidth,150,1.74,1000,607.999999999999
