panel,controller,wave,band,freq_Hz,t_ms,setpoint_nm,displacement_nm
a,PID,Sine,limit bandwidth,17000,0,1000,0
a,PID,Sine,limit bandwidth,17000,0.000999956523629407,1000,0
a,PID,Sine,limit bandwidth,17000,0.00199991304725881,1000,0
a,PID,Sine,limit bandwidth,17000,0.00299986957088822,1000,102.5
a,PID,Sine,limit bandwidth,17000,0.00399982609451763,1000,199.875
a,PID,Sine,limit bandwidth,17000,0.00499978261814704,1000,292.38125
a,PID,Sine,limit bandwidth,17000,0.00599973914177644,1000,380.2621875
a,PID,Sine,limit bandwidth,17000,0.00699969566540585,1000,463.749078125
a,PID,Sine,limit bandwidth,17000,0.00799965218903526,1000,543.06162421875
a,PID,Sine,limit bandwidth,17000,0.00899960871266467,1000,618.408543007813
a,PID,Sine,limit bandwidth,17000,0.00999956523629407,1000,689.988115857422
a,PID,Sine,limit bandwidth,17000,0.0109995217599235,1000,757.988710064551
a,PID,Sine,limit bandwidth,17000,0.0119994782835529,1000,822.589274561323
a,PID,Sine,limit bandwidth,17000,0.0129994348071823,1000,883.959810833257
a,PID,Sine,limit bandwidth,17000,0.0139993913308117,1000,942.261820291594
a,PID,Sine,limit bandwidth,17000,0.0149993478544411,1000,997.648729277014
a,PID,Sine,limit bandwidth,17000,0.0159993043780705,1000,1015.81756833583
a,PID,Sine,limit bandwidth,17000,0.0169992609016999,1000,1033.46288663976
a,PID,Sine,limit bandwidth,17000,0.0179992174253293,1000,1050.61086022655
a,PID,Sine,limit bandwidth,17000,0.0189991739489587,1000,1067.28635633206
a,PID,Sine,limit bandwidth,17000,0.0199991304725881,1000,1083.51299883035
a,PID,Sine,limit bandwidth,17000,0.0209990869962176,1000,1080.55954999571
a,PID,Sine,limit bandwidth,17000,0.021999043519847,1000,1077.30519789392
a,PID,Sine,limit bandwidth,17000,0.0229990000434764,1000,1073.76498768834
a,PID,Sine,limit bandwidth,17000,0.0239989565671058,1000,1069.95321228416
a,PID,Sine,limit bandwidth,17000,0.0249989130907352,1000,1065.88344994131
a,PID,Sine,limit bandwidth,17000,0.0259988696143646,1000,1061.1685716139
a,PID,Sine,limit bandwidth,17000,0.026998826137994,1000,1056.22308245431
a,PID,Sine,limit bandwidth,17000,0.0279987826616234,1000,1051.05851300413
a,PID,Sine,limit bandwidth,17000,0.0289987391852528,1000,1045.6858172779
a,PID,Sine,limit bandwidth,17000,0.0299986957088822,1000,1040.11540158942
a,PID,Sine,limit bandwidth,17000,0.0309986522325116,1000,1037.99726118774
a,PID,Sine,limit bandwidth,17000,0.031998608756141,1000,1035.68045569097
a,PID,Sine,limit bandwidth,17000,0.0329985652797704,1000,1033.17491835384
a,PID,Sine,limit bandwidth,17000,0.0339985218033999,1000,1030.49008576838
a,PID,Sine,limit bandwidth,17000,0.0349984783270293,1000,1027.63492269701
a,PID,Sine,limit bandwidth,17000,0.0359984348506587,1000,1026.89730539045
a,PID,Sine,limit bandwidth,17000,0.0369983913742881,1000,1025.99330171077
a,PID,Sine,limit bandwidth,17000,0.0379983478979175,1000,1024.93123097661
a,PID,Sine,limit bandwidth,17000,0.0389983044215469,1000,1023.7189965407
a,PID,Sine,limit bandwidth,17000,0.0399982609451763,1000,1022.36410658814
a,PID,Sine,limit bandwidth,17000,0.0409982174688057,1000,1021.88935727889
a,PID,Sine,limit bandwidth,17000,0.0419981739924351,1000,1021.28021879151
a,PID,Sine,limit bandwidth,17000,0.0429981305160645,1000,1020.54341058489
a,PID,Sine,limit bandwidth,17000,0.0439980870396939,1000,1019.68531614499
a,PID,Sine,limit bandwidth,17000,0.0449980435633233,1000,1018.71199978349
a,PID,Sine,limit bandwidth,17000,0.0459980000869527,1000,1018.23427465581
a,PID,Sine,limit bandwidth,17000,0.0469979566105821,1000,1017.64920034355
a,PID,Sine,limit bandwidth,17000,0.0479979131342116,1000,1016.96214430594
a,PID,Sine,limit bandwidth,17000,0.048997869657841,1000,1016.17820562924
a,PID,Sine,limit bandwidth,17000,0.0499978261814704,1000,1015.30222844541
a,PID,Sine,limit bandwidth,17000,0.0509977827050998,1000,1014.86488125716
a,PID,Sine,limit bandwidth,17000,0.0519977392287292,1000,1014.34154672414
a,PID,Sine,limit bandwidth,17000,0.0529976957523586,1000,1013.73652421357
a,PID,Sine,limit bandwidth,17000,0.053997652275988,1000,1013.05389812433
